device: NVIDIA H200
target memory GB: 8.0
matmul_size: 8192
step=1020, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=1030, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=1040, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=1050, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=1060, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=1070, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=1080, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=1090, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=1100, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=1110, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=1120, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=1130, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=1140, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=1150, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=1160, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=1170, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=1180, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=1190, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=1200, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=1210, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=1220, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=1230, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=1240, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=1250, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=1260, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=1270, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=1280, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=1290, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=1300, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=1310, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=1320, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=1330, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=1340, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=1350, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=1360, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=1370, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=1380, value=0.006285, allocated=8.41GB, reserved=8.91GB
