device: NVIDIA H200
target memory GB: 16.0
matmul_size: 16384
inner_iters: 20
step=131, allocated=17.53GB, reserved=17.53GB
step=132, allocated=17.53GB, reserved=17.53GB
step=133, allocated=17.53GB, reserved=17.53GB
step=134, allocated=17.53GB, reserved=17.53GB
step=135, allocated=17.53GB, reserved=17.53GB
step=136, allocated=17.53GB, reserved=17.53GB
step=137, allocated=17.53GB, reserved=17.53GB
step=138, allocated=17.53GB, reserved=17.53GB
step=139, allocated=17.53GB, reserved=17.53GB
step=140, allocated=17.53GB, reserved=17.53GB
step=141, allocated=17.53GB, reserved=17.53GB
step=142, allocated=17.53GB, reserved=17.53GB
step=143, allocated=17.53GB, reserved=17.53GB
step=144, allocated=17.53GB, reserved=17.53GB
step=145, allocated=17.53GB, reserved=17.53GB
step=146, allocated=17.53GB, reserved=17.53GB
step=147, allocated=17.53GB, reserved=17.53GB
step=148, allocated=17.53GB, reserved=17.53GB
step=149, allocated=17.53GB, reserved=17.53GB
step=150, allocated=17.53GB, reserved=17.53GB
step=151, allocated=17.53GB, reserved=17.53GB
step=152, allocated=17.53GB, reserved=17.53GB
step=153, allocated=17.53GB, reserved=17.53GB
step=154, allocated=17.53GB, reserved=17.53GB
step=155, allocated=17.53GB, reserved=17.53GB
step=156, allocated=17.53GB, reserved=17.53GB
step=157, allocated=17.53GB, reserved=17.53GB
step=158, allocated=17.53GB, reserved=17.53GB
step=159, allocated=17.53GB, reserved=17.53GB
step=160, allocated=17.53GB, reserved=17.53GB
step=161, allocated=17.53GB, reserved=17.53GB
step=162, allocated=17.53GB, reserved=17.53GB
step=163, allocated=17.53GB, reserved=17.53GB
step=164, allocated=17.53GB, reserved=17.53GB
step=165, allocated=17.53GB, reserved=17.53GB
step=166, allocated=17.53GB, reserved=17.53GB
step=167, allocated=17.53GB, reserved=17.53GB
step=168, allocated=17.53GB, reserved=17.53GB
step=169, allocated=17.53GB, reserved=17.53GB
step=170, allocated=17.53GB, reserved=17.53GB
step=171, allocated=17.53GB, reserved=17.53GB
step=172, allocated=17.53GB, reserved=17.53GB
step=173, allocated=17.53GB, reserved=17.53GB
step=174, allocated=17.53GB, reserved=17.53GB
step=175, allocated=17.53GB, reserved=17.53GB
step=176, allocated=17.53GB, reserved=17.53GB
